Timestamp,Event
2026-05-30 06:52:16 AM,Vehicle Detected
2026-05-30 06:52:45 AM,Vehicle Detected
2026-05-30 06:53:20 AM,Vehicle Detected
2026-05-30 06:55:44 AM,Vehicle Detected
2026-05-30 06:55:53 AM,Vehicle Detected
2026-05-30 06:56:44 AM,Vehicle Detected
2026-05-30 06:57:02 AM,Vehicle Detected
2026-05-30 06:57:42 AM,Vehicle Detected
2026-05-30 06:57:50 AM,Vehicle Detected
2026-05-30 06:58:16 AM,Vehicle Detected
2026-05-30 06:58:28 AM,Vehicle Detected
2026-05-30 06:58:53 AM,Vehicle Detected
2026-05-30 06:59:21 AM,Vehicle Detected
2026-05-30 06:59:24 AM,Vehicle Detected
2026-05-30 07:00:30 AM,Vehicle Detected
2026-05-30 07:00:41 AM,Vehicle Detected
2026-05-30 07:01:15 AM,Vehicle Detected
2026-05-30 07:01:51 AM,Vehicle Detected
2026-05-30 07:02:00 AM,Vehicle Detected
2026-05-30 07:02:45 AM,Vehicle Detected
2026-05-30 07:04:22 AM,Vehicle Detected
2026-05-30 07:05:05 AM,Vehicle Detected
2026-05-30 07:06:25 AM,Vehicle Detected
2026-05-30 07:07:00 AM,Vehicle Detected
2026-05-30 07:07:10 AM,Vehicle Detected
2026-05-30 07:07:20 AM,Vehicle Detected
2026-05-30 07:07:27 AM,Vehicle Detected
2026-05-30 07:08:14 AM,Vehicle Detected
2026-05-30 07:08:25 AM,Vehicle Detected
2026-05-30 07:08:32 AM,Vehicle Detected
2026-05-30 07:08:39 AM,Vehicle Detected
2026-05-30 07:08:49 AM,Vehicle Detected
2026-05-30 07:09:16 AM,Vehicle Detected
2026-05-30 07:09:26 AM,Vehicle Detected
2026-05-30 07:09:52 AM,Vehicle Detected
2026-05-30 07:10:04 AM,Vehicle Detected
2026-05-30 07:11:22 AM,Vehicle Detected
2026-05-30 07:11:39 AM,Vehicle Detected
2026-05-30 07:12:42 AM,Vehicle Detected
2026-05-30 07:13:28 AM,Vehicle Detected
2026-05-30 07:14:12 AM,Vehicle Detected
2026-05-30 07:15:06 AM,Vehicle Detected
2026-05-30 07:15:32 AM,Vehicle Detected
2026-05-30 07:15:50 AM,Vehicle Detected
2026-05-30 07:17:15 AM,Vehicle Detected
2026-05-30 07:17:48 AM,Vehicle Detected
2026-05-30 07:17:56 AM,Vehicle Detected
2026-05-30 07:18:41 AM,Vehicle Detected
2026-05-30 07:19:55 AM,Vehicle Detected
2026-05-30 07:20:21 AM,Vehicle Detected
2026-05-30 07:21:06 AM,Vehicle Detected
2026-05-30 07:22:20 AM,Vehicle Detected
2026-05-30 07:22:57 AM,Vehicle Detected
2026-05-30 07:23:17 AM,Vehicle Detected
2026-05-30 07:23:45 AM,Vehicle Detected
